[03/12/2024 00:47:17] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:47:17] booking_service.py | Fetching all bookings...
[03/12/2024 00:47:17] outlet_service.py | Getting outlets data...
[03/12/2024 00:47:17] room_service.py | Getting rooms data...
[03/12/2024 00:47:17] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:47:17] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:47:18] outlet_service.py | Getting outlets data...
[03/12/2024 00:47:18] booking_service.py | Fetching all bookings...
[03/12/2024 00:47:18] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:47:18] room_service.py | Getting rooms data...
[03/12/2024 00:47:29] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:47:29] booking_service.py | Fetching all bookings...
[03/12/2024 00:47:29] room_service.py | Getting rooms data...
[03/12/2024 00:47:29] outlet_service.py | Getting outlets data...
[03/12/2024 00:47:29] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:47:29] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:47:29] booking_service.py | Fetching all bookings...
[03/12/2024 00:47:29] outlet_service.py | Getting outlets data...
[03/12/2024 00:47:29] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:47:29] room_service.py | Getting rooms data...
[03/12/2024 00:47:31] booking_service.py | Updating booking data...
[03/12/2024 00:47:31] booking_service.py | Booking B6F24179 updated successfully to True.
[03/12/2024 00:47:32] transaction_service.py | Adding new transaction...
[03/12/2024 00:47:33] app.py | App running.
[03/12/2024 00:49:05] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:05] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:05] room_service.py | Getting rooms data...
[03/12/2024 00:49:05] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:05] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:05] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:05] room_service.py | Getting rooms data...
[03/12/2024 00:49:05] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:05] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:05] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:45] room_service.py | Getting rooms data...
[03/12/2024 00:49:45] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:45] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:45] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:45] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:45] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:45] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:45] room_service.py | Getting rooms data...
[03/12/2024 00:49:45] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:45] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:56] room_service.py | Getting room datas....
data...
[03/12/2024 00:49:56] room_service.py | Failed getting room datas.
[03/12/2024 00:49:56] room_service.py | Getting rooms data...
[03/12/2024 00:49:56] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:56] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:56] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:56] room_service.py | Getting room datas....
[03/12/2024 00:49:56] room_service.py | Failed getting room datas.
[03/12/2024 00:49:56] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:56] room_service.py | Getting rooms data...
[03/12/2024 00:49:58] room_service.py | Getting room datas....
[03/12/2024 00:49:58] room_service.py | Failed getting room datas.
[03/12/2024 00:49:58] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:58] room_service.py | Getting rooms data...
[03/12/2024 00:49:58] outlet_service.py | Getting outlets data...
[03/12/2024 00:49:58] booking_service.py | Fetching all bookings...
[03/12/2024 00:49:58] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:49:58] room_service.py | Getting room datas....
[03/12/2024 00:49:58] room_service.py | Failed getting room datas.
[03/12/2024 00:49:58] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:49:58] room_service.py | Getting rooms data...
[03/12/2024 00:49:58] outlet_service.py | Getting outlets data...
[03/12/2024 00:50:01] room_service.py | Getting room datas....
[03/12/2024 00:50:01] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:50:01] room_service.py | Failed getting room datas.
[03/12/2024 00:50:01] room_service.py | Getting rooms data...
[03/12/2024 00:50:01] outlet_service.py | Getting outlets data...
[03/12/2024 00:50:01] booking_service.py | Fetching all bookings...
[03/12/2024 00:50:01] booking_service.py | Successfully fetched 1 bookings.
[03/12/2024 00:50:01] outlet_service.py | Getting outlet cities data...
[03/12/2024 00:50:01] room_service.py | Getting room datas....
[03/12/2024 00:50:01] room_service.py | Failed getting room datas.
[03/12/2024 00:50:01] outlet_service.py | Getting outlets data...
